song,artist,labels
There Goes My Baby,Drifters,London Records
Forty Miles Of Bad Road,Duane Eddy,London Records
My Wish Came True,Elvis Presley,RCA Italiana
(Now And Then There's) A Fool Such As I,Elvis Presley,Sony BMG Music Entertainment
A Big Hunk O' Love,Elvis Presley,RCA
I Need Your Love Tonight,Elvis Presley,RCA
In The Mood,Ernie Fields Orchestra,Ace
Take A Message To Mary,Everly Brothers,London Records
('Til) I Kissed You,Everly Brothers,London Records
Tiger,Fabian,Chancellor
Turn Me Loose,Fabian,His Master's Voice
You're So Fine,Falcons,Unart Records
I Want To Walk You Home,Fats Domino,London Records
So Fine,Fiestas,Prestige Records
I Only Have Eyes For You,Flamingos,Discophon
Mr. Blue,Fleetwoods,Dolton Records
Come Softly To Me,Fleetwoods,London Records
Only You,Franck Pourcel,Electrola
High Hopes,Frank Sinatra ,Capitol Records
A Boy Without A Girl,Frankie Avalon,Reo
Bobby Sox To Stockings,Frankie Avalon,Chancellor
Venus,Frankie Avalon,Chancellor
Just Ask Your Heart,Frankie Avalon,Collectables
Sea Cruise,Frankie Ford,Goldisc
Heartaches By The Number,Guy Mitchell,Philips
Sorry (I Ran All The Way Home),Impalas,South Bay
Morgen,Ivo Robic,?
Goodbye Baby,Jack Scott,Carlton
Lonely Teardrops,Jackie Wilson,Brunswick
That's Why,Jackie Wilson,Coral
Baby Talk,Jan and Dean,London Records
Primrose Lane,Jerry Wallace,Challenge
Red River Rock,Johnny and The Hurricanes,Warwick
The Battle Of New Orleans,Johnny Horton,Columbia
The Tijuana Jail,Kingston Trio,Capitol Records
I Cried A Tear,Lavern Baker,Atlantic
I'm Gonna Get Married,Lloyd Price,W & G
Stagger Lee,Lloyd Price,MCA Records
Personality,Lloyd Price,ABC-Paramount
Quiet Village,Martin Denny,London Records
Battle Hymn Of The Republic,Mormon Tabernacle Choir,CBS
Put Your Head On My Shoulder,Paul Anka,Columbia
Lonely Boy,Paul Anka,ABC-Paramount
Sea Of Love,Phil Phillips and The Twilights,?
Smoke Gets In Your Eyes,Platters,Mercury
Enchanted,Platters,Mercury
Bongo Rock,Preston Epps,Original Sound
Peter Gunn Theme,Ray Anthony,Collectables
What'd I Say,Ray Charles,Atlantic
Sweeter Than You,Ricky Nelson,Collectables
Never Be Anyone Else But You,Ricky Nelson,Capitol Records
It's Late,Ricky Nelson,Imperial
Just A Little Too Much,Ricky Nelson,London Records
Donna,Ritchie Valens,London Records
Teen Beat,Sandy Nelson,Imperial
Sleep Walk,Santo and Johnny,Eclipse
Broken-hearted Melody,Sarah Vaughan,Mercury
It Was I,Skip and Flip,Top Rank International
Since I Don't Have You,Skyliners,London Records
Waterloo,Stonewall Jackson,Columbia
Tragedy,Thomas Wayne,Quality
Guitar Boogie Shuffle,Virtues,W & G
Kansas City,Wilbert Harrison,Top Rank International
Deck Of Cards,Wink Martindale,Hamilton
The Village Of St. Bernadette,Andy Williams,Heliodor
In My Little Corner Of The World,Anita Bryant,Carlton
O Dio Mio,Annette,Buena Vista Records
Money,Barret Strong,?
White Silver Sands,Bill Black's Combo,?
Let The Little Girl Dance,Billy Bland,Old Town Records
Let's Think About Livin',Bob Luman,Warner Bros. Records
Beyond The Sea,Bobby Darin,Atlantic
Little Bitty Girl,Bobby Rydell,Cameo
Wild One,Bobby Rydell,Columbia
Swingin' School,Bobby Rydell,Barry
Devil Or Angel,Bobby Vee,Liberty
I'm Sorry,Brenda Lee,Prestige For Pleasure
I Want To Be Wanted,Brenda Lee,Brunswick
That's All You Gotta Do,Brenda Lee,American Pie
Sweet Nothin's,Brenda Lee,Decca
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Kapp Records
Kiddio,Brook Benton,Mercury
Greenfields,Brothers Four,CBS
The Old Lamplighter,Browns,RCA
Lonely Weekends,Charlie Rich,Hilltop
The Twist,Chubby Checker,Columbia
Mama,Connie Francis,MGM Records
Among My Souvenirs,Connie Francis,Telstar Records Ltd.
My Heart Has A Mind Of Its Own,Connie Francis,MGM Records
Everybody's Somebody's Fool,Connie Francis,MGM Records
Lonely Blue Boy,Conway Twitty,MGM Records
Step By Step,Crests,Top Rank International
A Rockin' Good Way,Dinah Washington and Brook Benton,?
Where Or When,Dion and The Belmonts,Laurie Records
Mission Bell,Donnie Brooks,Flamingo Records
Save The Last Dance For Me,Drifters,London Records
Because They're Young,Duane Eddy,London Records
Mack the Knife,Ella Fitzgerald,Verve Records
It's Now Or Never,Elvis Presley,Tonpress
Stuck On You,Elvis Presley,Underground Records
Let It Be Me,Everly Brothers,Cadence
So Sad,Everly Brothers,Old Gold
When Will I Be Loved,Everly Brothers,London Records
Cathy's Clown,Everly Brothers,Pickwick Records
Walking To New Orleans,Fats Domino,Imperial
Mule Skinner Blues,Fendermen,Soma
Theme From The Apartment,Ferrante and Teicher,London Records
Down By The Station,Four Preps,Capitol Records
Nice 'n Easy,Frank Sinatra ,Capitol Records
Why,Frankie Avalon,?
Way Down Yonder In New Orleans,Freddie Cannon,?
Finger Poppin' Time,Hank Ballard and The Midnighters,Power Pak
"Please Help Me, I'm Falling",Hank Locklin,RCA
Alley Oop,Hollywood Argyles,London Records
Burning Bridges,Jack Scott,Capitol Records
What In The World's Come Over You,Jack Scott,Top Rank International
Night,Jackie Wilson,Brunswick
Doggin' Around,Jackie Wilson,Coral
He'll Have To Stay,Jeanne Black,Capitol Records
He'll Have To Go,Jim Reeves,RCA
A Million To One,Jimmy Charles,Collectables
Go Jimmy Go,Jimmy Clanton,Ace Records
Handy Man,Jimmy Jones,MGM Records
Good Timin',Jimmy Jones,MGM Records
You Talk Too Much,Joe Jones,Quality
Beatnik Fly,Johnny and The Hurricanes,Warwick
Dreamin',Johnny Burnette,London Records
Sink The Bismark,Johnny Horton,Columbia
Running Bear,Johnny Preston,Mercury
Cradle Of Love,Johnny Preston,Mercury
Poetry In Motion,Johnny Tillotson,Barnaby Records
Mr. Custer,Larry Verne,ERA Records
Forever,Little Dippers,Sparton
Lady Luck,Lloyd Price,Electrola
Teen Angel,Mark Dinning,MGM Records
El Paso,Marty Robbins,Fontana
I Love The Way You Love,Marv Johnson,United Artists Records
You've Got What It Takes,Marv Johnson,United Artists Records
Stay,Maurice Williams,Herald
Stairway To Heaven,Neil Sedaka,BMG Australia Limited
It's Time To Cry,Paul Anka,Columbia
Puppy Love,Paul Anka,ABC-Paramount
My Home Town,Paul Anka,ABC-Paramount
Happy-Go-Lucky Me,Paul Evans,Decca
"Theme From ""A Summer Place""",Percy Faith,Philips
Harbor Lights,Platters,Musicor Records
Georgia On My Mind,Ray Charles,Prism Leisure
Tell Laura I Love Her,Ray Peterson,RCA Victor
Young Emotions,Ricky Nelson,Polydor
Love You So,Ron Holden,Del-Fi Records
Only The Lonely,Roy Orbison,London Records
Chain Gang,Sam Cooke,RCA Victor
Wonderful World,Sam Cooke,RCA
Cherry Pie,Skip and Flip,Brent
Pretty Blue Eyes,Steve Lawrence,ABC-Paramount
Footsteps,Steve Lawrence,ABC-Paramount
The Big Hurt,Toni Fisher,Signet
"Walk, Dont Run",Ventures,Liberty
Take Good Care Of Her,Adam Wade,Coed
The Writing On The Wall,Adam Wade,Zirkon Records
Yellow Bird,Arthur Lyman,HiFi Records
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,ABC-Paramount
Stand By Me,Ben E. King,?
Spanish Harlem,Ben E. King,?
Mexico,Bob Moore,Monument
You Must Have Been A Beautiful Baby,Bobby Darin,ATCO Records
One Track Mind,Bobby Lewis,Beltone
Tossin' And Turnin',Bobby Lewis,Beltone
Good Time Baby,Bobby Rydell,Columbia
Take Good Care Of My Baby,Bobby Vee,United Artists Records
Rubber Ball,Bobby Vee,London Records
You Can Depend On Me,Brenda Lee,Decca
Dum Dum,Brenda Lee,?
Think Twice,Brook Benton,Mercury
The Boll Weevil Song,Brook Benton,Mercury
Baby Sittin' Boogie,Buzz Clifford,Philips
Those Oldies But Goodies,Caesar and The Romans,Goldies 45
There's A Moon Out Tonight,Capris,Columbia
Gee Whiz (Look At His Eyes),Carla Thomas,Atlantic
I Like It Like That,Chris Kenner,GRT
The Fly,Chubby Checker,Columbia
Let's Twist Again,Chubby Checker,Editions Atlas
Pony Time,Chubby Checker,Parkway
Breakin' In A Brand New Broken Heart,Connie Francis,MGM Records
Where The Boys Are,Connie Francis,Polydor
Pretty Little Angel Eyes,Curtis Lee,London Records
Take Five,Dave Brubeck,Atlantic
Raindrops,Dee Clark,Charly R&B
Hats Off To Larry,Del Shannon,Rainbow
Runaway,Del Shannon,London Records
The Mountain's High,Dick and Deedee,?
Runaround Sue,Dion,Fermata
Sea Of Heartbreak,Don Gibson,RCA
Bristol Stomp,Dovells,La Voz De Su Amo
Please Stay,Drifters,Atlantic
Baby Blue,Echoes,Blue Lion Records
I'm Gonna Knock On Your Door,Eddie Hodges,Rumble Records
Are You Lonesome Tonight,Elvis Presley,RCA
Surrender,Elvis Presley,Sony BMG Music Entertainment (UK) Ltd.
Little Sister,Elvis Presley,RCA Victor
(Marie's The Name) His Latest Flame,Elvis Presley,Jugoton
Mother-In-Law,Ernie K-Doe,?
Walk Right Back,Everly Brothers,Warner Bros. Records
Hello Walls,Faron Young,Caywood Music
Let The Four Winds Blow,Fats Domino,Liberty
Wings Of A Dove,Ferlin Husky,Capitol Records
Exodus,Ferrante and Teicher,United Artists Records
On The Rebound,Floyd Cramer,RCA Victor
San Antonio Rose,Floyd Cramer,RCA
More Money For You And Me Medley,Four Preps,Capitol Records
The Second Time Around,Frank Sinatra ,Reprise Records
School Is Out,"Gary ""U.S."" Bonds",?
Quarter To Three,"Gary ""U.S."" Bonds",?
A Hundred Pounds Of Clay,Gene Mcdaniels,?
Michael,Highwaymen,United Artists Records
It's Gonna Work Out Fine,Ike and Tina Turner,Sue Records Inc.
Big Bad John,Jimmy Dean,Columbia
My True Story,Jive Five,Lana Records
Without You,Johnny Tillotson,Cadence
Apache,Jorgen Ingmann,?
Asia Minor,Kokomo,London Records
Calcutta,Lawrence Welk,Ranwood
Ya Ya,Lee Dorsey,Sansu
The Way You Look Tonight,Lettermen,Capitol Records
Don't Bet Money Honey,Linda Scott,Columbia
I've Told Every Little Star,Linda Scott,Canadian-American Records
Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),Lonnie Donegan,?
Blue Moon,Marcels,Tizoc
Last Night,Mar-Keys,?
Don't Worry,Marty Robbins,Fontana
My Kind Of Girl,Matt Monroe,?
Shop Around,Miracles,London Records
Calendar Girl,Neil Sedaka,RCA
I Love How You Love Me,Paris Sisters,Top Rank International
Moody River,Pat Boone,Dot Records
I Fall To Pieces,Patsy Cline,Decca
"Tonight My Love, Tonight",Paul Anka,Columbia
One Mint Julep,Ray Charles,Impulse!
Hit The Road Jack,Ray Charles,Karusell
Missing You,Ray Peterson,London American Recordings
Travelin' Man,Ricky Nelson,Capitol Records
Hello Mary Lou,Ricky Nelson,London Records
Angel Baby,Rosie and The Originals,London Records
Cryin',Roy Orbison,London Records
Running Scared,Roy Orbison,Monument
Daddy's Home,Shep and The Limelites,Collectables
Will You Love Me Tomorrow,Shirelles,Philips
Dedicated To The One I Love,Shirelles,Top Rank International
Mama Said,Shirelles,Topline Records
(Up a) Lazy River,Si Zentner,Liberty
Portrait Of My Love,Steve Lawrence,United Artists Records
Wheels,String-a-longs,?
Sad Movies (Make Me Cry),Sue Thompson,Collectables
Hurt,Timi Yuro,London Records
Bless You,Tony Orlando,Fontana
This Time,Troy Shondell,Liberty
Tuff,Ace Cannon,Hi Records
I Know,Barbara George,Trip Oldies
You'll Lose A Good Thing,Barbara Lynn,Jamie
Surfin' Safari,Beach Boys,Capitol Records
Alley Cat,Bent Fabric,Metronome
Percolator (Twist),Billy Joe and The Checkmates,Dore
A Swingin' Safari,Billy Vaughn,London Records
Things,Bobby Darin,London Records
I'll Never Dance Again,Bobby Rydell,Top Rank International
Roses Are Red (My Love),Bobby Vinton,Coronet
Green Onions,Booker T and The MG's,?
Break It To Me Gently,Brenda Lee,Festival Records
Everybody Loves Me But You,Brenda Lee,?
Sealed With A Kiss,Brian Hyland,ABC-Paramount
Hey! Baby,Bruce Channel,Baccarola International
Funny Way Of Laughin',Burl Ives,Brunswick
A Little Bitty Tear,Burl Ives,Decca
Let's Dance,Chris Montez,London Records
Slow Twistin',Chubby Checker,Columbia
Wolverton Mountain,Claude King,Columbia
Party Lights,Claudine Clark,Collectables
"Lover, Please",Clyde Mcphatter,Mercury
Don't Break The Heart That Loves You,Connie Francis,Polydor
Smoky Places,Corsairs,Tuff
Uptown,Crystals,Philles Records
Rinky Dink,"Dave ""Baby"" Cortez",?
The Stripper,David Rose,Hispavox, S.A.
Mashed Potato Time,Dee Dee Sharp,His Master's Voice
Gravy,Dee Dee Sharp,ABKCO
Patches,Dickie Lee,?
Little Diane,Dion,Stateside
Lovers Who Wander,Dion,Laurie Records
The Wanderer,Dion,Interfusion
What's Your Name,Don and Juan,Lana Records
You Belong To Me,Duprees,Coed
"(Girls, Girls, Girls) Were Made To Love",Eddie Hodges,?
Can't Help Falling In Love,Elvis Presley,Camden
Good Luck Charm,Elvis Presley,RCA Victor
Shout! Shout! (Knock Yourself Out),Ernie Maresca,Oldays
Crying In The Rain,Everly Brothers,Warner Bros. Records
Sherry,Four Seasons,Stateside
Palisades Park,Freddy Cannon,Rumble Records
"Twist, Twist Senora",Gary U.S. Bonds,?
Dear Lady Twist,Gary U.S. Bonds,?
Duke Of Earl,Gene Chandler,Fontana
Town Without Pity,Gene Pitney,Quality
The Man Who Shot Liberty Valance,Gene Pitney,Musicor Records
Moon River,Henry Mancini,RCA Victor
Cotton Fields,Highwaymen,United Artists Records
I'm Blue,Ikettes,ATCO Records
Twist And Shout,Isley Brothers,Hip-Pocket Records
Her Royal Majesty,James Darren,Colpix Records
She Cried,Jay and The Americans,United Artists Records
Venus In Blue Jeans,Jimmy Clanton,Reo
P.T. 109,Jimmy Dean,Columbia
Walk On The Wild Side,Jimmy Smith,CTI Records
Twistin' Matilda,Jimmy Soul,His Master's Voice
Johnny Get Angry,Joanie Sommers,Warner Bros. Records
Snap Your Fingers,Joe Henderson,Todd
Shout,Joey Dee,Roulette
Peppermint Twist,Joey Dee and The Starlighters,?
Cindy's Birthday,Johnny Crawford,Pye International
It Keeps Right On a-Hurtin',Johnny Tillotson,London Records
Midnight In Moscow,Kenny Ball,Kapp Records
Love Letters,Ketty Lester,London Records
Soul Twist,King Curtis,Capitol Records
Where Have All The Flowers Gone,Kingston Trio,Capitol Records
Dear One,Larry Finnegan,London Records
The Loco-Motion,Little Eva,London Records
Playboy,Marvelettes,Motown
The One Who Really Loves You,Mary Wells,Motown
You Beat Me To The Punch,Mary Wells,Motown
Stranger On The Shore,Mr. Acker Bilk,?
Ramblin' Rose,Nat King Cole,Capitol Records
Breaking Up Is Hard To Do,Neil Sedaka,Polydor
Wah-Watusi,Orlons,Columbia
Speedy Gonzales,Pat Boone,Dot Records
She's Got You,Patsy Cline,Collectables
Love Me Warm And Tender,Paul Anka,RCA Victor
If I Had A Hammer,"Peter, Paul and Mary",?
You Don't Know Me,Ray Charles,ABC-Paramount
I Can't Stop Loving You,Ray Charles,Impulse
Ahab The Arab,Ray Stevens,Mercury
Theme From Dr. Kildare,Richard Chamberlain,Metro Records
Young World,Rick Nelson,?
I Wish That We Were Married,Ronnie and The Hi-lites,?
Dream Baby,Roy Orbison,Eric Records
Having A Party,Sam Cooke,RCA
Twistin' The Night Away,Sam Cooke,RCA Victor
What Kind of Fool Am I,"Sammy Davis, Jr.",?
Let Me In,Sensations,Lost Nite Records
Johnny Angel,Shelley Fabares,Discophon
Soldier Boy,Shirelles,His Master's Voice
Baby It's You,Shirelles,WaxTime
Desafinado,Stan Getz & Charlie Byrd,Allied International
Norman,Sue Thompson,Avanti
Sheila,Tommy Roe,Not On Label
I Left My Heart in San Francisco,Tony Bennett,CBS
Old Rivers,Walter Brennan,Liberty
I Love You Because,Al Martino,Capitol Records
"Painted, Tainted Rose",Al Martino,Capitol Records
"Hello Muddah, Hello Fadduh! (A Letter From Camp)",Allan Sherman,?
Can't Get Used To Losing You,Andy Williams,Columbia
My Boyfriend's Back,Angels,Smash Records
"Hello, Stranger",Barbara Lewis,Atlantic
Happy Days Are Here Again,Barbra Streisand,Columbia
Surfer Girl,Beach Boys,Starline
Shut Down,Beach Boys,Analogue Productions
Surfin' U.S.A.,Beach Boys,Capitol Records
Still,Bill Anderson,Decca
Our Winter Love,Bill Pursell,Columbia
500 Miles Away From Home,Bobby Bare,RCA Victor
You're The Reason I'm Living,Bobby Darin,Capitol Records
The Night Has A Thousand Eyes,Bobby Vee,Liberty
Blue Velvet,Bobby Vinton,Epic
Blue On Blue,Bobby Vinton,Columbia
Losing You,Brenda Lee,Brunswick
Rhythm Of The Rain,Cascades,Valiant Records
Pipeline,Chantays,Dot Records
One Fine Day,Chiffons,Stateside
He's So Fine,Chiffons,Stateside
Don't Say Nothin' Bad About My Baby,Cookies,London Records
Da Doo Ron Ron,Crystals,London Records
Then He Kissed Me,Crystals,London Records
I'm Leaving It Up To You,Dale and Grace,Montel
Little Town Flirt,Del Shannon,Rhino Records
Ruby Baby,Dion,Columbia
"Donna, The Prima Donna",Dion,CBS
Just One Look,Doris Troy,Atlantic
You Can't Sit Down,Dovells,Globe
Up On The Roof,Drifters,Atlantic
Bossa Nova Baby,Elvis Presley,RCA Victor
(You're The) Devil In Disguise,Elvis Presley,RCA Victor
Easier Said Than Done,Essex,Roulette
Blame It On The Bossa Nova,Eydie Gorme,?
Candy Girl,Four Seasons,Allied International
Walk Like A Man,Four Seasons,Philips
Cry Baby,Garnet Mimms and The Enchanters,United Artists Records
Days Of Wine And Roses,Henry Mancini,RCA Camden
It's All Right,Impressions,His Master's Voice
Mockingbird,Inez Foxx,Symbol Records
Wives and Lovers,Jack Jones,Kapp Records
Baby Workout,Jackie Wilson,ZYX Records
Surf City,Jan and Dean,Liberty
Mama Didn't Lie,Jan Bradley,Chess
Sally Go 'Round The Roses,Jaynetts,Tuff
Sugar Shack,Jimmy Gilmer and The Fireballs,?
If You Wanna Be Happy,Jimmy Soul,SPQR
Ring Of Fire,Johnny Cash,Columbia
What Will My Mary Say,Johnny Mathis,CBS
More,Kai Winding,Polydor
Sukiyaki,Kyu Sakamoto,Capitol Records
She's A Fool,Lesley Gore,Mercury
It's My Party,Lesley Gore,Mercury
Judy's Turn To Cry,Lesley Gore,Mercury
I Will Follow Him,Little Peggy March,?
Fingertips II,Little Stevie Wonder,?
Memphis,Lonnie Mack,W & G
Maria Elena,Los Indios Tabajaras,Saludos Amigos
Two Faces Have I,Lou Christie,Roulette
The Monkey Time,Major Lance,Okeh
Heat Wave,Martha and The Vandellas,Columbia
Come And Get These Memories,Martha and The Vandellas,Gordy
Pride And Joy,Marvin Gaye,Collectables
You've Really Got A Hold On Me,Miracles,Tamla
Mickey's Monkey,Miracles,Tamla
"That Sunday, That Summer",Nat King Cole,Capitol Records
Those Lazy Hazy Crazy Days Of Summer,Nat King Cole,Capitol Records
From A Jack To A King,Ned Miller,London Records
Deep Purple,Nino Tempo and April Stevens,London Records
South Street,Orlons,Cameo Parkway
Hey Paula,Paul and Paula,Universum Music
Puff (The Magic Dragon),"Peter, Paul and Mary",?
Blowin' In The Wind,"Peter, Paul and Mary",?
Denise,Randy and The Rainbows,Stateside
Take These Chains From My Heart,Ray Charles,His Master's Voice
Busted,Ray Charles,His Master's Voice
Wild Weekend,Rebels,Itzy
Fools Rush In,Rick Nelson,?
"Tie Me Kangaroo Down, Sport",Rolf Harris,Capitol Records
Be My Baby,Ronettes,Philles Records
Walk Right In,Rooftop Singers,Eric Records
Mean Woman Blues,Roy Orbison,Monument
In Dreams,Roy Orbison,Monument
Our Day Will Come,Ruby and The Romantics,Charly Records
Walking The Dog,Rufus Thomas,Atlantic
Little Red Rooster,Sam Cooke,RCA Victor
Another Saturday Night,Sam Cooke,RCA
Foolish Little Girl,Shirelles,Columbia
The End Of The World,Skeeter Davis,RCA
I Can't Stay Mad At You,Skeeter Davis,RCA Victor
Go Away Little Girl,Steve Lawrence,Harmony
Talk To Me,Sunny and The Sunglows,London Records
Wipe Out,Surfaris,London Records
Everybody,Tommy Roe,Sparton
I Wanna Be Around,Tony Bennett,CBS
If I Had A Hammer,Trini Lopez,WEA International Inc.
So Much In Love,Tymes,Cameo Parkway
Washington Square,Village Stompers,Columbia
Cotton Candy,Al Hirt,RCA Victor
Java,Al Hirt,RCA Victor
I Love You More And More Every Day,Al Martino,Capitol Records
A Fool Never Learns,Andy Williams,Columbia
The House Of The Rising Sun,Animals,?
Diane,Bachelors,London Records
People,Barbara Streisand,?
People,Barbra Streisand,CBS
I Get Around,Beach Boys,Capitol Records
Do You Want To Know A Secret,Beatles,Vee Jay Records
Love Me Do,Beatles,Parlophone
A Hard Day's Night,Beatles,CD-Maximum
I Want To Hold Your Hand,Beatles,4 Track
She Loves You,Beatles,Capitol Records
Please Please Me,Beatles,Vee Jay Records
Can't Buy Me Love,Beatles,Parlophone
I Saw Her Standing There,Beatles,Rock Melon Music LTD
The Shoop Shoop Song (It's In His Kiss),Betty Everett,Vee Jay Records
Let It Be Me,Betty Everett and Jerry Butler,?
Bad To Me,Billy J. Kramer and The Dakotas,?
Little Children,Billy J. Kramer and The Dakotas,?
C'mon And Swim,Bobby Freeman,Autumn Records
See The Funny Little Clown,Bobby Goldsboro,Liberty
There! I've Said It Again,Bobby Vinton,Epic
A Summer Song,Chad and Jeremy,Lana Records
White On White,Danny Williams,United Artists Records
Can't You See That She's Mine,Dave Clark Five,Columbia
Because,Dave Clark Five,Capitol Records Of Canada, Ltd.
Glad All Over,Dave Clark Five,Columbia
Bits And Pieces,Dave Clark Five,Columbia
Do You Love Me,Dave Clark Five,Columbia
The Door Is Still Open To My Heart,Dean Martin,Reprise Records
Everybody Loves Somebody,Dean Martin,Reprise Records
Navy Blue,Diane Renay,20th Century Fox Records
Anyone Who Had A Heart,Dionne Warwick,Scepter Records
Walk On By,Dionne Warwick,North Star Music
Chapel Of Love,Dixie Cups,Red Bird
Under The Boardwalk,Drifters,Atlantic
Wishin' And Hopin',Dusty Springfield,Pickwick/33 Records
