"Cake By The Ocean","DNCE"
"Get Used To Me","Justin Bieber"
"Might Not","Belly Featuring The Weeknd"
"One Dance","Drake Featuring WizKid & Kyla"
"Diamonds Dancing","Drake & Future"
"Never Be Like You","Flume Featuring Kai"
"Drunk On Your Love","Brett Eldredge"
"9","Drake"
"Lazarus","David Bowie"
"Cecilia And The Satellite","Andrew McMahon In The Wilderness"
"Sugar","Robin Schulz Featuring Francesco Yates"
"Focus","Ariana Grande"
"Fly","Maddie & Tae"
"Bad Blood","Taylor Swift Featuring Kendrick Lamar"
"Heartbeat","Carrie Underwood"
"Home Alone Tonight","Luke Bryan Featuring Karen Fairchild"
"Alright","Kendrick Lamar"
"Can't Sleep Love","Pentatonix"
"6 Inch","Beyonce Featuring The Weeknd"
"Unsteady","X Ambassadors"
"Adventure Of A Lifetime","Coldplay"
"Can't Stop The Feeling!","Justin Timberlake"
"Hello","Adele"
"Stitches","Shawn Mendes"
"Mind Reader","Dustin Lynch"
"Fight Song","Rachel Platten"
"Confident","Demi Lovato"
"Dibs","Kelsea Ballerini"
"Roses","The Chainsmokers Featuring Rozes"
"Olivia","One Direction"
"Country Nation","Brad Paisley"
"Don't Hurt Yourself","Beyonce Featuring Jack White"
"Back Up","DeJ Loaf Featuring Big Sean"
"Oui","Jeremih"
"Should've Been Us","Tori Kelly"
"Traveller","Chris Stapleton"
"Views","Drake"
"Needed Me","Rihanna"
"Think Of You","Chris Young Duet With Cassadee Pope"
"Life Is Worth Living","Justin Bieber"
"oui","Jeremih"
"Nothin' Like You","Dan + Shay"
"Let Me Love You","Ariana Grande Featuring Lil Wayne"
"Low Life","Future Featuring The Weeknd"
"Here","Alessia Cara"
"This Is What You Came For","Calvin Harris Featuring Rihanna"
"All The Way Up","Fat Joe & Remy Ma Featuring French Montana"
"Where Ya At","Future Featuring Drake"
"Mark My Words","Justin Bieber"
"Die A Happy Man","Thomas Rhett"
"Perfect","One Direction"
"Die A Happy Man","Nelly"
"Victorious","Panic! At The Disco"
"Hollow","Tori Kelly"
"Acquainted","The Weeknd"
"Marvin Gaye","Charlie Puth Featuring Meghan Trainor"
"Lonesome Broken And Blue","Adam Wakefield"
"The Christmas Song (Merry Christmas To You)","Nat King Cole"
"Work From Home","Fifth Harmony Featuring Ty Dolla $ign"
"Lost Boy","Ruth B"
"Hymn For The Weekend","Coldplay"
"Tell Your Friends","The Weeknd"
"Work","Rihanna Featuring Drake"
"Planes","Jeremih Featuring J. Cole"
"$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan"
"Uma Thurman","Fall Out Boy"
"Ex's & Oh's","Elle King"
"New Americana","Halsey"
"Flex (Ooh Ooh Ooh)","Rich Homie Quan"
"Big Rings","Drake & Future"
"Stick Talk","Future"
"679","Fetty Wap Featuring Remy Boyz"
"Company","Justin Bieber"
"Father Stretch My Hands Pt. 1","Kanye West"
"Hallelujah","Lindsey Stirling"
