inst#,actual,predicted,error
316,0,-0.004,-0.004
317,0,0.024,0.024
318,0,0.271,0.271
319,0,0.028,0.028
320,0,0.021,0.021
321,0,0.05,0.05,
322,0,0.017,0.017
323,0,0.028,0.028
324,0,0.009,0.009
325,0,0.021,0.021
326,0.2,0.019,-0.181
327,0,0.037,0.037
328,0,-0.004,-0.004
329,0,0.042,0.042
330,0,-0.012,-0.012
331,0,0.014,0.014
332,0,0.01,0.01,
333,0,-0.006,-0.006
334,0,0.023,0.023
335,0,-0.003,-0.003
336,0,0.01,0.01,
337,0,0.043,0.043
338,0,0.027,0.027
339,0,0.012,0.012
340,0,0.018,0.018
341,0,-0.002,-0.002
342,0,0.005,0.005
343,1,0.433,-0.567
344,0,0.032,0.032
345,0,0.017,0.017
346,0.2,0.017,-0.183
347,0,0.029,0.029
348,0.2,0.019,-0.181
349,0,0.011,0.011
350,0,-0.003,-0.003
351,0,0.025,0.025
352,0,-0.001,-0.001
353,0,0,0,
354,0,0.052,0.052
355,0,0.143,0.143
356,0,0.076,0.076
357,0,0,0,
358,0,0.034,0.034
359,0,0.026,0.026
360,0,0.013,0.013
361,0,0.009,0.009
362,0,0.021,0.021
363,0,0,0,
364,0.2,0.303,0.103
365,0,-0.009,-0.009
366,0,0.002,0.002
367,0,0.004,0.004
368,0,0.014,0.014
369,0,0.026,0.026
370,0,0.083,0.083
371,0.2,0.097,-0.103
372,0,0.018,0.018
373,0,0.005,0.005
374,0,0.008,0.008
375,0,-0.016,-0.016
376,0,-0.016,-0.016
377,0,0.025,0.025
378,0,-0.004,-0.004
379,0,0.028,0.028
380,0,0.001,0.001
381,0,0.039,0.039
382,0,0.142,0.142
383,0,0.004,0.004
384,0,0.011,0.011
385,0,-0.004,-0.004
386,0,0.164,0.164
387,0,0.005,0.005
388,0,0.033,0.033
389,0,0.015,0.015
390,0,0.031,0.031
391,0,-0.002,-0.002
392,0,0.007,0.007
393,0,-0.002,-0.002
394,0,0.021,0.021
395,1,0.064,-0.936
396,0,0.019,0.019
397,0,0.037,0.037
398,0,0.024,0.024
399,0,0.01,0.01,
400,0,0.024,0.024
401,0,0.042,0.042
402,0,0.004,0.004
403,0,0.017,0.017
404,0,0.011,0.011
405,0,0.018,0.018
406,0,0.009,0.009
407,0,0.051,0.051
408,0,0.007,0.007
409,0,0.034,0.034
410,0,0.02,0.02,
411,0,0.02,0.02,
412,0,0.005,0.005
413,0,0.003,0.003
414,0,0.025,0.025
415,0,0.013,0.013
416,0,0.011,0.011
417,0,0.022,0.022
418,0,0.032,0.032
419,0,0.25,0.25,
420,0,0.018,0.018
421,0,-0.001,-0.001
422,0,0.162,0.162
423,0,0.189,0.189
424,0,0.024,0.024
425,0,0.005,0.005
426,0,0.018,0.018
427,0,0.021,0.021
428,0,0.03,0.03,
429,0,0.004,0.004
430,0,0.004,0.004
431,0,0.018,0.018
432,0.2,0.056,-0.144
433,0,0.011,0.011
434,0,0.016,0.016
435,0,0.05,0.05,
436,0,0.021,0.021
437,0,0.019,0.019
438,0,0.005,0.005
439,0,0.007,0.007
440,0,0.194,0.194
441,0,0.145,0.145
442,0.2,0.04,-0.16,
443,0,0.05,0.05,
444,0,0.015,0.015
