Song Title,Artist Name,Year
Church Bells,Carrie Underwood,2015
Uber Everywhere,MadeinTYO,2016
Change Locations,Drake & Future,2015
100,The Game Featuring Drake,2015
My Boo,Ghost Town DJ's,2016
Jingle Bell Rock,Bobby Helms,1957
Body,Dreezy Featuring Jeremih,2016
Bang My Head,David Guetta Featuring Sia & Fetty Wap,2015
Gotta Lotta,2 Chainz Featuring Lil Wayne,2016
Weston Road Flows,Drake,2016
Ginza,J Balvin,2016
Childs Play,Drake,2016
Don't,Bryson Tiller,2015
Blackstar,David Bowie,2016
My Church,Maren Morris,2015
She's Kinda Hot,5 Seconds Of Summer,2015
Be Alright,Ariana Grande,2016
Still Here,Drake,2016
From The Ground Up,Dan + Shay,2016
Backroad Song,Granger Smith,2016
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015
Pt. 2,Kanye West,2016
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015
Lean On,Major Lazer & DJ Snake Featuring M0,2015
Somebody To Love,Jordan Smith,2015
Right Hand,Drake,2015
Hold Each Other,A Great Big World Featuring FUTURISTIC,2015
Whisper,Chase Rice,2016
Wicked,Future,2016
Cool For The Summer,Demi Lovato,2015
Blessings,Chance The Rapper,2015
The Feeling,Justin Bieber Featuring Halsey,2016
Hallelujah,Jordan Smith,2015
I Took A Pill In Ibiza,Mike Posner,2016
Alive,Sia,2015
Already Callin' You Mine,Parmalee,2013
Messin' Around,Pitbull Featuring Enrique Iglesias,2016
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,2015
Random,G-Eazy,2015
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,2016
Temporary Fix,One Direction,2015
Halo,Jordan Smith,2015
Let Me See Ya Girl,Cole Swindell,2014
Panda,Desiigner,2016
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2014
Smoke Break,Carrie Underwood,2015
See You Again,Wiz Khalifa Featuring Charlie Puth,2015
Come Get Her,Rae Sremmurd,2015
Save It For A Rainy Day,Kenny Chesney,2014
Beautiful Drug,Zac Brown Band,2015
Jersey,Future,2015
Antidote,Travi$ Scott,2015
Remedy,Adele,2015
Wake Up,Fetty Wap,2016
Burning House,Emily Ann Roberts,2015
Jumpman,Drake & Future,2015
American Country Love Song,Jake Owen,2016
Come And See Me,PARTYNEXTDOOR Featuring Drake,2016
Under Pressure,Queen & David Bowie,1981
The Fighter,Keith Urban Featuring Carrie Underwood,2016
Hell Of A Night,Dustin Lynch,2014
Forward,Beyonce Featuring James Blake,2016
House Party,Sam Hunt,2014
You Don't Own Me,Grace Featuring G-Eazy,2015
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015
My Way,Fetty Wap Featuring Monty,2015
U With Me?,Drake,2016
Photograph,Ed Sheeran,2015
Want To Want Me,Jason Derulo,2015
I'm The Plug,Drake & Future,2015
Hold My Hand,Jess Glynne,2015
Kick The Dust Up,Luke Bryan,2015
Feedback,Kanye West,2016
H.O.L.Y.,Florida Georgia Line,2016
The Hills,The Weeknd,2015
Wildest Dreams,Taylor Swift,2015
Good For You,Selena Gomez Featuring A$AP Rocky,2015
Raspberry Beret,Prince And The Revolution,1985
This Could Be Us,Rae Sremmurd,2015
Can't Feel My Face,The Weeknd,2015
Ultralight Beam,Kanye West,2016
Mary Did You Know,Jordan Smith,2015
Team,Iggy Azalea,2016
Sorry Not Sorry,Bryson Tiller,2015
Kiss,Prince And The Revolution,1986
It's You,Zayn,2016
True Colors,Zedd & Kesha,2015
Me Too,Meghan Trainor,2016
Gonna Wanna Tonight,Chase Rice,2014
Scholarships,Drake & Future,2015
Thinking Out Loud,Ed Sheeran,2014
New Level,A$AP Ferg Featuring Future,2015
Digital Dash,Drake & Future,2015
Comfortable,K Camp,2015
Lay It All On Me,Rudimental Featuring Ed Sheeran,2015
Faded,Alan Walker,2015
If It Ain't Love,Jason Derulo,2016
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,2016
Dark Times,The Weeknd Featuring Ed Sheeran,2015
Top Of The World,Tim McGraw,2015
Piece By Piece,Kelly Clarkson,2015
Real Life,Jake Owen,2015
Anything Goes,Florida Georgia Line,2014
Just Like Fire,P!nk,2016
My House,Flo Rida,2015
Send My Love (To Your New Lover),Adele,2016
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2015
I Like The Sound Of That,Rascal Flatts,2014
"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,2015
Cake By The Ocean,DNCE,2016
Get Used To Me,Justin Bieber,2015
Might Not,Belly Featuring The Weeknd,2015
One Dance,Drake Featuring WizKid & Kyla,2016
Diamonds Dancing,Drake & Future,2015
Never Be Like You,Flume Featuring Kai,2016
Drunk On Your Love,Brett Eldredge,2015
9,Drake,2009
Lazarus,David Bowie,2015
Cecilia And The Satellite,Andrew McMahon In The Wilderness,2014
Sugar,Robin Schulz Featuring Francesco Yates,2015
Focus,Ariana Grande,2015
Fly,Maddie & Tae,2015
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
Heartbeat,Carrie Underwood,2015
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,2015
Alright,Kendrick Lamar,2015
Can't Sleep Love,Pentatonix,2015
6 Inch,Beyonce Featuring The Weeknd,2016
Unsteady,X Ambassadors,2015
Adventure Of A Lifetime,Coldplay,2015
Can't Stop The Feeling!,Justin Timberlake,2016
Hello,Adele,2015
Stitches,Shawn Mendes,2015
Mind Reader,Dustin Lynch,2014
Fight Song,Rachel Platten,2015
Confident,Demi Lovato,2015
Dibs,Kelsea Ballerini,2015
Roses,The Chainsmokers Featuring Rozes,2016
Olivia,One Direction,2015
Country Nation,Brad Paisley,2014
Don't Hurt Yourself,Beyonce Featuring Jack White,2016
Back Up,DeJ Loaf Featuring Big Sean,2015
Oui,Jeremih,2015
Should've Been Us,Tori Kelly,2015
Traveller,Chris Stapleton,2016
Views,Drake,2016
Needed Me,Rihanna,2016
Think Of You,Chris Young Duet With Cassadee Pope,2016
Life Is Worth Living,Justin Bieber,2015
oui,Jeremih,2015
Nothin' Like You,Dan + Shay,2014
Let Me Love You,Ariana Grande Featuring Lil Wayne,2016
Low Life,Future Featuring The Weeknd,2016
Here,Alessia Cara,2015
This Is What You Came For,Calvin Harris Featuring Rihanna,2016
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,2016
Where Ya At,Future Featuring Drake,2015
Mark My Words,Justin Bieber,2015
Die A Happy Man,Thomas Rhett,2015
Perfect,One Direction,2015
Die A Happy Man,Nelly,2015
Victorious,Panic! At The Disco,2016
Hollow,Tori Kelly,2015
Acquainted,The Weeknd,2015
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015
Lonesome Broken And Blue,Adam Wakefield,2016
The Christmas Song (Merry Christmas To You),Nat King Cole,1991
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
Lost Boy,Ruth B,2015
Hymn For The Weekend,Coldplay,2016
Tell Your Friends,The Weeknd,2015
Work,Rihanna Featuring Drake,2016
Planes,Jeremih Featuring J. Cole,2014
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2015
Uma Thurman,Fall Out Boy,2015
Ex's & Oh's,Elle King,2015
New Americana,Halsey,2015
Flex (Ooh Ooh Ooh),Rich Homie Quan,2015
Big Rings,Drake & Future,2015
Stick Talk,Future,2015
679,Fetty Wap Featuring Remy Boyz,2015
Company,Justin Bieber,2015
Father Stretch My Hands Pt. 1,Kanye West,2016
Hallelujah,Lindsey Stirling,2015
