song,artist,labels
Ride,twenty one pilots,?
Lean & Dabb,iLoveMemphis,?
Middle,DJ Snake Featuring Bipolar Sunshine,Polydor Associated Labels
Pray You Catch Me,Beyonce,?
Locked Away,R. City Featuring Adam Levine,?
A.M.,One Direction,Syco Music
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,Interscope Records
Pillowtalk,Zayn,RCA
History,One Direction,?
Again,Fetty Wap,?
Used To Love You,Gwen Stefani,Interscope Records
All I Ask,Adele,?
Rich $ex,Future,?
Head Over Boots,Jon Pardi,?
Little Red Corvette,Prince,Warner Bros. Records
Down In The DM,Yo Gotti,Sony Music
You Should Be Here,Cole Swindell,Warner Bros. Records
Great Is Thy Faithfulness,Jordan Smith,?
FML,Kanye West,?
Break On Me.,Keith Urban,Hit Red Records
THat Part,ScHoolboy Q Featuring Kanye West,?
Girls Just Want To Have Fun,Madi Davis,?
Ophelia,The Lumineers,Universal Music
Gonna Know We Were Here,Jason Aldean,?
Space Oddity,David Bowie,Philips
Cut It,O.T. Genasis Featuring Young Dolph,?
Fire & Desire,Drake,?
Into You,Ariana Grande,?
Water Under The Bridge,Adele,Columbia
Climb Every Mountain,Jordan Smith,?
Walking On A Dream,Empire Of The Sun,Capitol Records
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,Major Lazer LLC
Sugar,Maroon 5,Universal Music Group
With You,Drake Featuring PARTYNEXTDOOR,Don Pablo Presents
Grammys,Drake Featuring Future,?
Good To Be Alive (Hallelujah),Andy Grammer,?
Humble And Kind,Tim McGraw,?
The Fix,Nelly Featuring Jeremih,Sony Music
Where Are U Now,Skrillex & Diplo With Justin Bieber,?
Confession,Florida Georgia Line,?
R.I.C.O.,Meek Mill Featuring Drake,?
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,Virgin Records Ltd.
When We Were Young,Adele,XL Recordings
Say It,Tory Lanez,Mad Love Records
Sandcastles,Beyonce,?
Hands To Myself,Selena Gomez,Universal Music
Moolah,Young Greatness,?
Hello Friday,Flo Rida Featuring Jason Derulo,Warner Dance Labels
Cheap Thrills,Sia Featuring Sean Paul,Sony Music
I'd Just Love To Lay You Down,Barrett Baber,?
I Would Die 4 U,Prince And The Revolution,Warner Bros. Records
Used To Love You Sober,Kane Brown,?
Gold,Kiiara,Warner Dance Labels
I Love This Life,LoCash,?
Promise,Kid Ink Featuring Fetty Wap,?
All Night,Beyonce,?
Infinity,One Direction,Syco Music
Ain't Your Mama,Jennifer Lopez,Epic Records
Came Here To Forget,Blake Shelton,Warner Music Nashville
Let's Go Crazy,Prince And The Revolution,Warner Bros. Records
Untitled 07 l 2014 - 2016,Kendrick Lamar,?
30 for 30 Freestyle,Drake,?
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,?
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,?
Kiss It Better,Rihanna,?
No,Meghan Trainor,Epic
Stressed Out,twenty one pilots,Warner Dance Labels
Purpose,Justin Bieber,School Boy Records
Lose My Mind,Brett Eldredge,?
Worth It,Fifth Harmony Featuring Kid Ink,Syco Music
Tennessee Whiskey,Chris Stapleton,?
Something In The Way You Move,Ellie Goulding,Polydor
Wherever I Go,OneRepublic,Mosley Music Group
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,?
God Only Knows,Jordan Smith & Adam Levine,?
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,?
Redemption,Drake,?
Hasta El Amanecer,Nicky Jam,?
I'm Comin' Over,Chris Young,RCA
Firestone,Kygo Featuring Conrad,Sony Music
Children,Justin Bieber,?
Feel No Ways,Drake,?
Honey, I'm Good.,Andy Grammer,Sony Music
Stay A Little Longer,Brothers Osborne,?
Classic Man,Jidenna Featuring Roman GianArthur,Sony Music
Formation,Beyonce,?
Get Ugly,Jason Derulo,Warner Bros. Records
Keep The Family Close,Drake,?
Death Of A Bachelor,Panic! At The Disco,?
Huntin', Fishin' & Lovin' Every Day,Luke Bryan,?
Close,Nick Jonas Featuring Tove Lo,?
Law,Yo Gotti Featuring E-40,?
If I Could Fly,One Direction,?
Roses,The Chainsmokers Featuring ROZES,Sony Music
Drag Me Down,One Direction,Syco Music
Buy Me A Boat,Chris Janson,Warner Music Nashville
Something New,Zendaya Featuring Chris Brown,Hollywood Records
Jimmy Choo,Fetty Wap,?
Don't Mind,Kent Jones,?
Break Up With Him,Old Dominion,?
Fly S**t Only,Future,?
Waves,Kanye West,?
Sorry,Justin Bieber,Def Jam Recordings
How Deep Is Your Love,Calvin Harris & Disciples,Deconstruction
Love On The Brain,Rihanna,?
Writing's On The Wall,Sam Smith,Capitol Records
Untitled 02 l 06.23.2014.,Kendrick Lamar,?
RGF Island,Fetty Wap,?
Hide Away,Daya,?
One Call Away,Charlie Puth,Artist Partner Group, Inc.
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,?
Home,One Direction,Syco Music
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,Atlantic
Stand By You,Rachel Platten,?
Live From The Gutter,Drake & Future,?
Famous,Kanye West,?
No Role Modelz,J. Cole,?
Burning House,Cam,Sony Music
Lights Come On,Jason Aldean,?
1999,Prince,WEA
Out Of The Woods,Taylor Swift,Universal Music
Sorry,Beyonce,?
On My Mind,Ellie Goulding,Polydor
Shut Up And Dance,WALK THE MOON,RCA Records
Til It Happens To You,Lady Gaga,Interscope Records
Cheerleader,OMI,Ultra Records
Never Enough,One Direction,?
Back To Back,Drake,Cash Money Records
Summer Sixteen,Drake,Cash Money Records
Purple Rain,Prince And The Revolution,Warner Bros. Records
Watch Out,2 Chainz,?
2 Phones,Kevin Gates,Warner Dance Labels
Little Bit Of You,Chase Bryant,?
With Them,Young Thug,?
Daddy Lessons,Beyonce,?
Love Me,The 1975,Dirty Hit
Liquor,Chris Brown,RCA
Thriller,Michael Jackson,Epic
Real Friends,Kanye West,?
All I Want For Christmas Is You,Mariah Carey,Columbia
Record Year,Eric Church,?
Dessert,Dawin,Universal Music
Break Up In A Small Town,Sam Hunt,?
Down That Road,Alisan Porter,?
Dangerous Woman,Ariana Grande,Republic Records
Ghost Town,Adam Lambert,Wea Music
Gonna,Blake Shelton,?
Watch Me,Silento,?
Been You,Justin Bieber,?
Wasted Time,Keith Urban,?
Crash And Burn,Thomas Rhett,?
Renegades,X Ambassadors,Interscope Records
Same Old Love,Selena Gomez,Interscope Records
Look At My Dab,Migos,?
In The Night,The Weeknd,?
Hype,Drake,Music And Arts Programs Of America, Inc.
Nobody To Blame,Chris Stapleton,?
Wild Things,Alessia Cara,Universal Music
Loving You Easy,Zac Brown Band,?
Black Magic,Little Mix,Syco Music
That Don't Sound Like You,Lee Brice,?
Irresistible,Fall Out Boy,Island Records
Might Be,DJ Luke Nasty,?
Sorry,Rick Ross Featuring Chris Brown,Universal Music
Freedom,Beyonce Featuring Kendrick Lamar,?
Let It Go,James Bay,Republic Records
What Do You Mean?,Justin Bieber,Def Jam Recordings
Really Really,Kevin Gates,?
Digits,Young Thug,?
When Doves Cry,Prince,Not On Label (Prince)
Plastic Bag,Drake & Future,?
We Went,Randy Houser,?
Prisoner,The Weeknd Featuring Lana Del Rey,?
Like I Would,Zayn,RCA
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,?
Earned It (Fifty Shades Of Grey),The Weeknd,Republic Records
Light It Up,Major Lazer Featuring Nyla,Major Lazer LLC
Controlla,Drake,?
Go Flex,Post Malone,?
Church Bells,Carrie Underwood,?
Uber Everywhere,MadeinTYO,Private Club Records
Change Locations,Drake & Future,?
100,The Game Featuring Drake,Blood Money Entertainment
My Boo,Ghost Town DJ's,?
Jingle Bell Rock,Bobby Helms,TRIP
Body,Dreezy Featuring Jeremih,?
Bang My Head,David Guetta Featuring Sia & Fetty Wap,Parlophone
Gotta Lotta,2 Chainz Featuring Lil Wayne,?
Weston Road Flows,Drake,?
Ginza,J Balvin,?
Childs Play,Drake,?
Don't,Bryson Tiller,Sony Music
Blackstar,David Bowie,ISO Records
My Church,Maren Morris,Columbia Nashville
She's Kinda Hot,5 Seconds Of Summer,Capitol Records
Be Alright,Ariana Grande,Republic Records
Still Here,Drake,?
From The Ground Up,Dan + Shay,?
Backroad Song,Granger Smith,?
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,?
Pt. 2,Kanye West,?
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,Warner Dance Labels
Lean On,Major Lazer & DJ Snake Featuring M0,Mad Decent
Somebody To Love,Jordan Smith,?
Right Hand,Drake,?
Hold Each Other,A Great Big World Featuring FUTURISTIC,Sony Music
Whisper,Chase Rice,?
Wicked,Future,?
Cool For The Summer,Demi Lovato,Polydor
Blessings,Chance The Rapper,?
The Feeling,Justin Bieber Featuring Halsey,?
Hallelujah,Jordan Smith,?
I Took A Pill In Ibiza,Mike Posner,Island Records
Alive,Sia,RCA
Already Callin' You Mine,Parmalee,?
Messin' Around,Pitbull Featuring Enrique Iglesias,RCA
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,?
Random,G-Eazy,?
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,Warner Dance Labels
Temporary Fix,One Direction,?
Halo,Jordan Smith,?
Let Me See Ya Girl,Cole Swindell,?
Panda,Desiigner,Getting Out Our Dreams
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Columbia
Smoke Break,Carrie Underwood,Sony Music
See You Again,Wiz Khalifa Featuring Charlie Puth,?
Come Get Her,Rae Sremmurd,?
Save It For A Rainy Day,Kenny Chesney,?
Beautiful Drug,Zac Brown Band,?
Jersey,Future,?
Antidote,Travi$ Scott,?
Remedy,Adele,?
Wake Up,Fetty Wap,?
Burning House,Emily Ann Roberts,?
Jumpman,Drake & Future,?
American Country Love Song,Jake Owen,?
Come And See Me,PARTYNEXTDOOR Featuring Drake,?
Under Pressure,Queen & David Bowie,EMI
The Fighter,Keith Urban Featuring Carrie Underwood,?
Hell Of A Night,Dustin Lynch,?
Forward,Beyonce Featuring James Blake,?
House Party,Sam Hunt,?
You Don't Own Me,Grace Featuring G-Eazy,Sony Music
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,?
My Way,Fetty Wap Featuring Monty,?
U With Me?,Drake,?
Photograph,Ed Sheeran,Atlantic
Want To Want Me,Jason Derulo,Warner Bros. Records
I'm The Plug,Drake & Future,?
Hold My Hand,Jess Glynne,Atlantic
Kick The Dust Up,Luke Bryan,?
Feedback,Kanye West,?
H.O.L.Y.,Florida Georgia Line,?
The Hills,The Weeknd,Island Records
Wildest Dreams,Taylor Swift,Big Machine Records
Good For You,Selena Gomez Featuring A$AP Rocky,Universal Music
Raspberry Beret,Prince And The Revolution,Paisley Park
This Could Be Us,Rae Sremmurd,?
Can't Feel My Face,The Weeknd,Universal Music Group
Ultralight Beam,Kanye West,?
Mary Did You Know,Jordan Smith,?
Team,Iggy Azalea,Def Jam Recordings
Sorry Not Sorry,Bryson Tiller,?
Kiss,Prince And The Revolution,Paisley Park
It's You,Zayn,RCA
True Colors,Zedd & Kesha,Interscope Records
Me Too,Meghan Trainor,Epic
Gonna Wanna Tonight,Chase Rice,?
Scholarships,Drake & Future,?
Thinking Out Loud,Ed Sheeran,Asylum Records
New Level,A$AP Ferg Featuring Future,?
Digital Dash,Drake & Future,?
Comfortable,K Camp,?
Lay It All On Me,Rudimental Featuring Ed Sheeran,Asylum Records
Faded,Alan Walker,MER Musikk
If It Ain't Love,Jason Derulo,Warner Dance Labels
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,?
Dark Times,The Weeknd Featuring Ed Sheeran,?
Top Of The World,Tim McGraw,?
Piece By Piece,Kelly Clarkson,RCA
Real Life,Jake Owen,?
Anything Goes,Florida Georgia Line,Republic Nashville
Just Like Fire,P!nk,?
My House,Flo Rida,Atlantic
Send My Love (To Your New Lover),Adele,XL Recordings
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,Island Records
I Like The Sound Of That,Rascal Flatts,?
I Don't Like It, I Love It,Flo Rida Featuring Robin Thicke & Verdine White,Warner Dance Labels
Cake By The Ocean,DNCE,Republic Records
Get Used To Me,Justin Bieber,?
Might Not,Belly Featuring The Weeknd,?
One Dance,Drake Featuring WizKid & Kyla,Young Money Entertainment
Diamonds Dancing,Drake & Future,?
Never Be Like You,Flume Featuring Kai,Transgressive Records
Drunk On Your Love,Brett Eldredge,?
9,Drake,EMI Classics
Lazarus,David Bowie,Columbia
Cecilia And The Satellite,Andrew McMahon In The Wilderness,Vanguard
Sugar,Robin Schulz Featuring Francesco Yates,Tonspiel
Focus,Ariana Grande,Republic Records
Fly,Maddie & Tae,?
Bad Blood,Taylor Swift Featuring Kendrick Lamar,Big Machine Records, LLC
Heartbeat,Carrie Underwood,?
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,?
Alright,Kendrick Lamar,?
Can't Sleep Love,Pentatonix,?
6 Inch,Beyonce Featuring The Weeknd,?
Unsteady,X Ambassadors,?
Adventure Of A Lifetime,Coldplay,Warner Music Japan
Can't Stop The Feeling!,Justin Timberlake,RCA
Hello,Adele,XL Recordings
Stitches,Shawn Mendes,Island Records
Mind Reader,Dustin Lynch,?
Fight Song,Rachel Platten,Columbia
Confident,Demi Lovato,Hollywood Records
Dibs,Kelsea Ballerini,?
Roses,The Chainsmokers Featuring Rozes,Sony Music
Olivia,One Direction,?
Country Nation,Brad Paisley,?
Don't Hurt Yourself,Beyonce Featuring Jack White,?
Back Up,DeJ Loaf Featuring Big Sean,?
Oui,Jeremih,Universal Music
Should've Been Us,Tori Kelly,?
Traveller,Chris Stapleton,Mercury Records
Views,Drake,Republic Records
Needed Me,Rihanna,?
Think Of You,Chris Young Duet With Cassadee Pope,?
Life Is Worth Living,Justin Bieber,?
oui,Jeremih,Universal Music
Nothin' Like You,Dan + Shay,?
Let Me Love You,Ariana Grande Featuring Lil Wayne,?
Low Life,Future Featuring The Weeknd,?
Here,Alessia Cara,Def Jam Recordings
This Is What You Came For,Calvin Harris Featuring Rihanna,Columbia
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,?
Where Ya At,Future Featuring Drake,?
Mark My Words,Justin Bieber,?
Die A Happy Man,Thomas Rhett,?
Perfect,One Direction,Sony Music
Die A Happy Man,Nelly,RECORDS, LLC
Victorious,Panic! At The Disco,?
Hollow,Tori Kelly,Capitol Records
Acquainted,The Weeknd,?
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,Atlantic
Lonesome Broken And Blue,Adam Wakefield,?
The Christmas Song (Merry Christmas To You),Nat King Cole,Capitol Records
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,Sony Music
Lost Boy,Ruth B,?
Hymn For The Weekend,Coldplay,WEA Music
Tell Your Friends,The Weeknd,?
Work,Rihanna Featuring Drake,Universal Music Group
Planes,Jeremih Featuring J. Cole,Def Jam Recordings
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,?
Uma Thurman,Fall Out Boy,?
Ex's & Oh's,Elle King,Columbia
New Americana,Halsey,?
Flex (Ooh Ooh Ooh),Rich Homie Quan,?
Big Rings,Drake & Future,?
Stick Talk,Future,?
679,Fetty Wap Featuring Remy Boyz,Warner Dance Labels
Company,Justin Bieber,?
Father Stretch My Hands Pt. 1,Kanye West,?
Hallelujah,Lindsey Stirling,?
