song,artist,years
Bang My Head,David Guetta Featuring Sia & Fetty Wap,2015
Gotta Lotta,2 Chainz Featuring Lil Wayne,?
Weston Road Flows,Drake,?
Ginza,J Balvin,?
Childs Play,Drake,?
Don't,Bryson Tiller,2015
Blackstar,David Bowie,2016
My Church,Maren Morris,2015
She's Kinda Hot,5 Seconds Of Summer,2015
Be Alright,Ariana Grande,2016
Still Here,Drake,?
From The Ground Up,Dan + Shay,?
Backroad Song,Granger Smith,?
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,?
Pt. 2,Kanye West,?
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,2015
Lean On,Major Lazer & DJ Snake Featuring M0,2015
Somebody To Love,Jordan Smith,?
Right Hand,Drake,?
Hold Each Other,A Great Big World Featuring FUTURISTIC,2015
Whisper,Chase Rice,?
Wicked,Future,?
Cool For The Summer,Demi Lovato,2015
Blessings,Chance The Rapper,?
The Feeling,Justin Bieber Featuring Halsey,?
Hallelujah,Jordan Smith,?
I Took A Pill In Ibiza,Mike Posner,2016
Alive,Sia,2015
Already Callin' You Mine,Parmalee,?
Messin' Around,Pitbull Featuring Enrique Iglesias,2016
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,?
Random,G-Eazy,?
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,2016
Temporary Fix,One Direction,?
Halo,Jordan Smith,?
Let Me See Ya Girl,Cole Swindell,?
Panda,Desiigner,2016
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
Smoke Break,Carrie Underwood,2015
See You Again,Wiz Khalifa Featuring Charlie Puth,?
Come Get Her,Rae Sremmurd,?
Save It For A Rainy Day,Kenny Chesney,?
Beautiful Drug,Zac Brown Band,?
Jersey,Future,?
Antidote,Travi$ Scott,?
Remedy,Adele,?
Wake Up,Fetty Wap,?
Burning House,Emily Ann Roberts,?
Jumpman,Drake & Future,?
American Country Love Song,Jake Owen,?
Come And See Me,PARTYNEXTDOOR Featuring Drake,?
Under Pressure,Queen & David Bowie,1986
The Fighter,Keith Urban Featuring Carrie Underwood,?
Hell Of A Night,Dustin Lynch,?
Forward,Beyonce Featuring James Blake,?
House Party,Sam Hunt,?
You Don't Own Me,Grace Featuring G-Eazy,2016
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,?
My Way,Fetty Wap Featuring Monty,?
U With Me?,Drake,?
Photograph,Ed Sheeran,2015
Want To Want Me,Jason Derulo,2015
I'm The Plug,Drake & Future,?
Hold My Hand,Jess Glynne,2015
Kick The Dust Up,Luke Bryan,?
Feedback,Kanye West,?
H.O.L.Y.,Florida Georgia Line,?
The Hills,The Weeknd,2015
Wildest Dreams,Taylor Swift,2015
Good For You,Selena Gomez Featuring A$AP Rocky,2015
Raspberry Beret,Prince And The Revolution,1985
This Could Be Us,Rae Sremmurd,?
Can't Feel My Face,The Weeknd,2015
Ultralight Beam,Kanye West,?
Mary Did You Know,Jordan Smith,?
Team,Iggy Azalea,2016
Sorry Not Sorry,Bryson Tiller,?
Kiss,Prince And The Revolution,1986
It's You,Zayn,2016
True Colors,Zedd & Kesha,2015
Me Too,Meghan Trainor,2016
Gonna Wanna Tonight,Chase Rice,?
Scholarships,Drake & Future,?
Thinking Out Loud,Ed Sheeran,2014
New Level,A$AP Ferg Featuring Future,?
Digital Dash,Drake & Future,?
Comfortable,K Camp,?
Lay It All On Me,Rudimental Featuring Ed Sheeran,2015
Faded,Alan Walker,2015
If It Ain't Love,Jason Derulo,2016
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,?
Dark Times,The Weeknd Featuring Ed Sheeran,?
Top Of The World,Tim McGraw,?
Piece By Piece,Kelly Clarkson,2015
Real Life,Jake Owen,?
Anything Goes,Florida Georgia Line,2014
Just Like Fire,P!nk,?
My House,Flo Rida,2015
Send My Love (To Your New Lover),Adele,2016
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2015
I Like The Sound Of That,Rascal Flatts,?
I Don't Like It, I Love It,Flo Rida Featuring Robin Thicke & Verdine White,2015
Cake By The Ocean,DNCE,2016
Get Used To Me,Justin Bieber,?
Might Not,Belly Featuring The Weeknd,?
One Dance,Drake Featuring WizKid & Kyla,2016
Diamonds Dancing,Drake & Future,?
Never Be Like You,Flume Featuring Kai,2016
Drunk On Your Love,Brett Eldredge,?
9,Drake,2009
Lazarus,David Bowie,2015
Cecilia And The Satellite,Andrew McMahon In The Wilderness,2014
Sugar,Robin Schulz Featuring Francesco Yates,2015
Focus,Ariana Grande,2015
Fly,Maddie & Tae,?
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
Heartbeat,Carrie Underwood,?
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,?
Alright,Kendrick Lamar,?
Can't Sleep Love,Pentatonix,?
6 Inch,Beyonce Featuring The Weeknd,?
Unsteady,X Ambassadors,?
Adventure Of A Lifetime,Coldplay,2015
Can't Stop The Feeling!,Justin Timberlake,2016
Hello,Adele,2015
Stitches,Shawn Mendes,2015
Mind Reader,Dustin Lynch,?
Fight Song,Rachel Platten,2015
Confident,Demi Lovato,2015
Dibs,Kelsea Ballerini,?
Roses,The Chainsmokers Featuring Rozes,2016
Olivia,One Direction,?
Country Nation,Brad Paisley,?
Don't Hurt Yourself,Beyonce Featuring Jack White,?
Back Up,DeJ Loaf Featuring Big Sean,?
Oui,Jeremih,2015
Should've Been Us,Tori Kelly,?
Traveller,Chris Stapleton,2016
Views,Drake,2016
Needed Me,Rihanna,?
Think Of You,Chris Young Duet With Cassadee Pope,?
Life Is Worth Living,Justin Bieber,?
oui,Jeremih,2015
Nothin' Like You,Dan + Shay,?
Let Me Love You,Ariana Grande Featuring Lil Wayne,?
Low Life,Future Featuring The Weeknd,?
Here,Alessia Cara,2015
This Is What You Came For,Calvin Harris Featuring Rihanna,2016
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,?
Where Ya At,Future Featuring Drake,?
Mark My Words,Justin Bieber,?
Die A Happy Man,Thomas Rhett,?
Perfect,One Direction,2015
Die A Happy Man,Nelly,2015
Victorious,Panic! At The Disco,?
Hollow,Tori Kelly,2015
Acquainted,The Weeknd,?
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015
Lonesome Broken And Blue,Adam Wakefield,?
The Christmas Song (Merry Christmas To You),Nat King Cole,1991
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
Lost Boy,Ruth B,?
Hymn For The Weekend,Coldplay,2016
Tell Your Friends,The Weeknd,?
Work,Rihanna Featuring Drake,2016
Planes,Jeremih Featuring J. Cole,2014
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,?
Uma Thurman,Fall Out Boy,?
Ex's & Oh's,Elle King,2015
New Americana,Halsey,?
Flex (Ooh Ooh Ooh),Rich Homie Quan,?
Big Rings,Drake & Future,?
Stick Talk,Future,?
679,Fetty Wap Featuring Remy Boyz,2015
Company,Justin Bieber,?
Father Stretch My Hands Pt. 1,Kanye West,?
Hallelujah,Lindsey Stirling,?
